17:08:54 r1-e20-sparse uptime:  17:08:54 up  6:44,  1 user,  load average: 0,40, 0,94, 1,67
17:09:17 r1-e20-dense uptime:  17:09:17 up  6:45,  1 user,  load average: 0,53, 0,93, 1,65
17:09:41 r1-e20-busy80 uptime:  17:09:41 up  6:45,  1 user,  load average: 0,55, 0,90, 1,62
17:10:05 r1-e17 uptime:  17:10:05 up  6:46,  1 user,  load average: 0,81, 0,93, 1,61
17:10:12 r2-e20-sparse uptime:  17:10:12 up  6:46,  1 user,  load average: 0,83, 0,93, 1,61
17:10:35 r2-e20-dense uptime:  17:10:35 up  6:46,  1 user,  load average: 1,03, 0,98, 1,61
17:10:59 r2-e20-busy80 uptime:  17:10:59 up  6:46,  1 user,  load average: 0,81, 0,93, 1,57
17:11:23 r2-e17 uptime:  17:11:23 up  6:47,  1 user,  load average: 0,61, 0,87, 1,54
17:11:29 r3-e20-sparse uptime:  17:11:29 up  6:47,  1 user,  load average: 0,72, 0,89, 1,54
17:11:52 r3-e20-dense uptime:  17:11:52 up  6:47,  1 user,  load average: 0,80, 0,90, 1,53
17:12:16 r3-e20-busy80 uptime:  17:12:16 up  6:48,  1 user,  load average: 0,89, 0,91, 1,51
17:12:41 r3-e17 uptime:  17:12:41 up  6:48,  1 user,  load average: 1,19, 0,98, 1,52
17:12:47 r4-e20-sparse uptime:  17:12:47 up  6:48,  1 user,  load average: 1,17, 0,98, 1,52
17:13:10 r4-e20-dense uptime:  17:13:10 up  6:49,  1 user,  load average: 0,97, 0,95, 1,49
17:13:34 r4-e20-busy80 uptime:  17:13:34 up  6:49,  1 user,  load average: 0,93, 0,95, 1,48
17:13:58 r4-e17 uptime:  17:13:58 up  6:49,  1 user,  load average: 1,25, 1,03, 1,49
17:14:04 r5-e20-sparse uptime:  17:14:04 up  6:50,  1 user,  load average: 1,23, 1,03, 1,49
17:14:28 r5-e20-dense uptime:  17:14:28 up  6:50,  1 user,  load average: 1,17, 1,03, 1,48
17:14:52 r5-e20-busy80 uptime:  17:14:52 up  6:50,  1 user,  load average: 1,23, 1,06, 1,47
17:15:17 r5-e17 uptime:  17:15:17 up  6:51,  1 user,  load average: 1,07, 1,04, 1,45
17:31:54 r1-busy0 uptime:  17:31:54 up  7:07,  1 user,  load average: 0,74, 0,38, 0,66
17:32:16 r1-busy20 uptime:  17:32:16 up  7:08,  1 user,  load average: 1,08, 0,49, 0,70
17:32:42 r2-busy0 uptime:  17:32:42 up  7:08,  1 user,  load average: 1,15, 0,55, 0,71
17:33:04 r2-busy20 uptime:  17:33:04 up  7:09,  1 user,  load average: 1,20, 0,62, 0,73
17:33:30 r3-busy0 uptime:  17:33:30 up  7:09,  1 user,  load average: 0,99, 0,62, 0,72
17:33:52 r3-busy20 uptime:  17:33:52 up  7:09,  1 user,  load average: 1,22, 0,69, 0,75
17:34:18 r4-busy0 uptime:  17:34:18 up  7:10,  1 user,  load average: 1,36, 0,78, 0,78
17:34:41 r4-busy20 uptime:  17:34:41 up  7:10,  1 user,  load average: 1,37, 0,83, 0,79
17:35:07 r5-busy0 uptime:  17:35:07 up  7:11,  1 user,  load average: 1,18, 0,83, 0,79
17:35:29 r5-busy20 uptime:  17:35:29 up  7:11,  1 user,  load average: 1,16, 0,86, 0,81
